sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
S-3,sample,Sand,Meghna,"Hossain, 2019",75.2,0.54,11.25,0.92,2.99,0.08,1.21,1.87,1.55,2.02,0.12,
S-4,sample,Silty_clay,Meghna,"Hossain, 2019",67.53,0.79,13.86,1.12,5.04,0.12,1.85,1.96,1.38,2.39,0.15,
S-5,sample,Silty_clay,Meghna_river,"Hossain, 2019",66.72,0.84,13.75,1.26,5.59,0.12,2.12,1.8,1.39,2.47,0.14,
S-6,sample,Sand,Meghna,"Hossain, 2019",76.97,0.47,10.65,0.82,2.45,0.05,1.19,1.96,1.64,1.96,0.1,
S-7,sample,Sand,Meghna,"Hossain, 2019",77.67,0.42,10.32,0.76,2.19,0.05,1.1,1.95,1.72,1.94,0.1,
S-8,sample,Silty_clay,Meghna,"Hossain, 2019",71.22,0.8,13.79,0.97,4.22,0.06,1.83,1.57,1.41,2.51,0.11,
S-9,sample,Sand,Meghna,"Hossain, 2019",78.63,0.51,9.55,0.86,2.33,0.05,1.03,2.03,1.47,1.74,0.12,
S-10,sample,Silty_clay,Meghna,"Hossain, 2019",68.78,0.84,14.02,0.98,4.54,0.07,1.87,1.55,1.4,2.51,0.11,
S-11,sample,Silty_clay,Meghna,"Hossain, 2019",63.12,0.84,15.99,1,6.14,0.13,1.98,1.54,1.2,2.64,0.15,
S-12,sample,Sand,Meghna,"Hossain, 2019",75.27,0.58,10.92,0.96,2.93,0.06,1.37,2.32,1.7,1.93,0.13,
S-13,sample,Silty_clay,Meghna,"Hossain, 2019",65.9,0.84,14.44,1.2,5.64,0.12,2.23,1.88,1.5,2.6,0.14,
S-14,sample,Silty_clay,Meghna,"Hossain, 2019",64.69,0.83,15,1.12,5.77,0.13,2.15,1.81,1.41,2.62,0.15,
S-15,sample,Silty_clay,Meghna,"Hossain, 2019",63.93,0.83,15.57,1.04,5.8,0.11,2.11,1.89,1.36,2.68,0.15,
S-16,sample,Sand,Meghna,"Hossain, 2019",74.39,0.7,11.17,1.05,3.29,0.08,1.42,2.49,1.71,1.92,0.16,
S-17,sample,Silty_clay,Meghna,"Hossain, 2019",58.5,0.81,16.47,1.03,6.22,0.1,2.84,2.97,0.97,3.56,0.13,
